R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C1,R3C2,R3C3,R3C4,R4C1,R4C2,R4C3,R4C4,MOVE
512,16,8,2,32,8,2,4,8,4,0,2,4,2,0,4,1
512,16,0,2,32,8,2,4,8,4,8,2,4,2,2,4,0
512,16,2,2,32,8,8,4,8,4,2,2,4,2,2,4,1
512,16,2,2,32,8,2,4,8,4,8,2,4,2,4,4,0
512,16,4,2,32,8,8,4,8,4,4,2,4,2,2,4,2
512,16,4,2,32,16,4,0,8,8,2,2,4,4,4,0,1
512,0,0,0,32,32,8,2,8,8,2,0,4,4,4,4,0
512,32,8,2,32,8,2,4,8,4,4,0,4,0,0,2,0
512,32,8,2,32,8,2,4,8,4,4,2,4,2,0,0,1
512,32,2,0,32,8,8,2,8,4,2,4,4,2,4,2,2
512,32,2,2,32,16,2,0,8,4,2,4,4,2,4,2,0
512,32,4,2,32,16,2,4,8,4,4,2,4,2,0,2,2
512,32,4,2,32,16,2,4,8,8,2,0,4,4,0,4,1
512,32,0,2,32,16,0,0,8,8,4,2,4,4,4,8,2
512,32,2,0,32,16,0,4,16,4,2,0,8,4,8,0,1
512,0,0,0,32,32,0,2,16,16,4,0,8,8,8,4,1
512,0,0,0,32,32,2,0,16,16,4,2,8,8,8,4,2
512,0,0,2,64,2,0,0,32,4,2,0,16,8,4,0,1
512,0,0,2,64,2,0,0,32,4,2,0,16,8,4,2,1
512,0,0,0,64,2,0,0,32,4,2,2,16,8,4,4,2
512,0,0,0,64,2,0,0,32,4,4,0,16,8,8,2,2
512,0,0,2,64,2,0,0,32,8,0,0,16,16,2,0,2
512,2,2,0,64,2,0,0,32,8,0,0,32,2,0,0,0
512,4,2,0,64,8,0,0,64,2,2,0,0,0,0,0,2
512,4,2,0,64,8,2,0,64,4,0,0,0,0,0,0,0
512,4,4,0,128,8,0,0,0,4,0,0,0,0,0,2,2
512,8,0,0,128,8,0,0,4,0,0,0,2,0,2,0,0
512,16,2,0,128,0,0,0,4,0,2,0,2,0,0,0,2
512,16,2,0,128,0,0,0,4,2,0,0,2,0,2,0,0
512,16,4,0,128,2,0,0,4,0,0,0,2,2,0,0,0
512,16,4,0,128,4,0,0,4,2,0,0,2,0,0,0,1
512,0,0,0,128,16,0,0,4,4,0,0,2,2,4,2,0
512,16,4,2,128,4,0,0,4,2,0,2,2,0,0,0,0
512,16,4,4,128,4,0,2,4,2,0,0,2,0,0,0,2
512,16,8,0,128,4,2,0,4,2,2,0,2,0,0,0,0
512,16,8,0,128,4,4,0,4,2,0,0,2,2,0,0,0
512,16,8,0,128,4,4,2,4,4,0,0,2,0,0,0,0
512,16,8,2,128,8,4,0,4,0,0,0,2,0,0,2,0
512,16,8,4,128,8,4,2,4,0,0,0,2,0,0,0,3
512,16,8,4,128,8,4,2,0,0,0,4,0,0,2,2,3
512,16,8,4,128,8,4,2,0,2,0,4,0,0,0,4,2
512,16,8,4,128,8,4,2,2,4,0,4,4,0,0,0,2
512,16,8,4,128,8,4,2,2,8,0,2,4,0,0,0,3
512,16,8,4,128,8,4,2,2,2,8,2,0,0,0,4,2
512,16,8,4,128,8,4,2,4,8,2,0,4,0,0,2,3
512,16,8,4,128,8,4,2,0,4,8,2,0,2,4,2,2
512,16,8,4,128,8,4,2,4,8,2,0,2,4,2,2,3
512,16,8,4,128,8,4,2,2,4,8,2,0,2,4,4,2
512,16,8,4,128,8,4,2,2,4,8,2,2,8,2,0,3
512,16,8,4,128,8,4,2,2,4,8,2,2,2,8,2,2
512,16,8,4,128,8,4,2,2,4,8,2,4,8,2,2,3
512,16,8,4,128,8,4,2,2,4,8,2,2,4,8,4,0
512,16,8,4,128,8,4,4,4,8,16,4,0,2,0,0,2
512,16,8,4,128,8,8,0,4,8,16,4,2,0,0,2,0
512,16,16,8,128,16,16,2,4,0,0,0,2,0,2,0,0
512,32,32,8,128,0,2,2,4,0,2,0,2,0,0,0,0
512,32,32,8,128,0,4,2,4,0,0,2,2,0,0,0,2
512,64,8,0,128,4,2,0,4,2,2,0,2,0,0,0,0
512,64,8,0,128,4,4,0,4,2,0,0,2,2,0,0,0
512,64,8,0,128,4,4,0,4,4,2,0,2,0,0,0,0
512,64,8,0,128,8,4,0,4,0,2,0,2,0,0,2,0
512,64,8,2,128,8,4,0,4,0,2,0,2,0,2,0,2
512,64,8,2,128,8,4,0,4,2,0,0,4,0,2,0,2
512,64,8,2,128,8,4,0,4,2,4,0,4,2,0,0,0
512,64,8,2,128,8,8,0,8,4,0,2,0,0,0,0,2
512,64,8,2,128,16,2,0,8,4,2,0,0,0,0,0,0
512,64,8,2,128,16,4,0,8,4,0,0,0,0,0,2,2
512,64,8,2,128,16,4,0,8,4,2,0,2,0,0,0,1
512,2,0,0,128,64,8,0,8,16,4,0,2,4,2,2,0
512,2,8,2,128,64,4,0,8,16,2,0,2,4,2,0,1
512,2,0,0,128,64,8,2,8,16,4,0,2,4,4,2,2
512,2,0,0,128,64,8,2,8,16,4,2,2,8,2,0,1
512,2,0,0,128,64,8,2,8,16,4,0,2,8,2,4,1
512,2,0,0,128,64,8,2,8,16,4,2,2,8,2,4,1
512,2,0,2,128,64,8,0,8,16,4,4,2,8,2,4,1
512,2,2,0,128,64,8,0,8,16,4,2,2,8,2,8,2
512,4,0,0,128,64,8,4,8,16,4,2,2,8,2,8,0
512,4,8,4,128,64,4,2,8,16,2,8,2,8,0,4,1
